The algorithm was run for about 400 generations, below are the results.

|GenerationNumber|AverageScore|HighestScore|
|397|29100.3|195149|
|398|11457.32|141088|
|399|31453.296666666665|167878|
|400|26097.196666666667|136233|
|401|21442.92|168276|
|402|29153.41|189200|
|403|25198.56|166828|
|404|23388.316666666666|128102|
|405|35323.776666666665|205159|
|406|15722.863333333333|80222|
|407|9080.996666666666|42641|
|408|9741.596666666666|190736|
|409|20560.716666666667|110900|
|410|17391.32|115422|
|411|6690.5633333333335|106993|
|412|18757.49|185831|
|413|9099.336666666666|144505|
|414|19554.21|254707|
|415|20271.6|174836|
|416|19628.126666666667|104793|
|417|28213.603333333333|227233|
|418|28661.913333333334|182962|
|419|19705.823333333334|103285|
|420|18144.02666666667|160015|
|421|8278.576666666666|170511|
|422|18457.983333333334|128186|
|423|16208.26|106525|
|424|35436.53666666667|190420|
